word,0,rank,freq
who,844,100.0,0.0016626774228499946
homes,823,101.0,0.0016213074869733952
hands,797,102.0,0.001570087566364272
about,780,103.0,0.0015365976182736916
bye,768,104.0,0.0015129576549156348
reopen,758,105.0,0.0014932576854505876
keeping,754,106.0,0.0014853776976645687
so,734,107.0,0.0014459777587344739
you,719,108.0,0.0014164278045369029
but,711,109.0,0.001400667828964865
us,706,110.0,0.0013908178442323415
report,695,111.0,0.0013691478778207894
water,694,112.0,0.0013671778808742846
stop,690,113.0,0.0013592978930882656
other,689,114.0,0.001357327896141761
center,681,115.0,0.0013415679205697232
go,677,116.0,0.001333687932783704
work,674,117.0,0.00132777794194419
infected,673,118.0,0.0013258079449976852
free,670,119.0,0.001319897954158171
more,664,120.0,0.0013080779724791427
carry,657,121.0,0.0012942879938536095
eat,642,122.0,0.0012647380396560385
help,641,123.0,0.0012627680427095339
been,639,124.0,0.0012588280488165244
care,627,125.0,0.0012351880854584675
concern,624,126.0,0.0012292780946189534
wash,616,127.0,0.0012135181190469156
animals,614,128.0,0.0012095781251539061
support,611,129.0,0.0012036681343143918
network,610,130.0,0.001201698137367887
through,600,131.0,0.0011819981679028397
soap,594,132.0,0.0011701781862238113
fight,589,133.0,0.0011603282014912876
members,585,134.0,0.0011524482137052687
must,573,135.0,0.001128808250347212
without,565,136.0,0.0011130482747751741
bucket,563,137.0,0.0011091082808821647
money,558,138.0,0.001099258296149641
provide,554,139.0,0.001091378308363622
house,552,140.0,0.0010874383144706126
facility,551,141.0,0.001085468317524108
500,545,142.0,0.0010736483358450794
disease,544,143.0,0.0010716783388985747
activities,543,144.0,0.00106970834195207
chief,536,145.5,0.001055918363326537
117,536,145.5,0.001055918363326537
medical,527,147.0,0.0010381883908079943
treatment,526,148.0,0.0010362183938614894
chlorine,521,149.0,0.0010263684091289659
yes,490,150.0,0.0009652985037873191
did,485,151.0,0.0009554485190547955
now,479,152.0,0.0009436285373757671
like,477,153.0,0.0009396885434827577
take,471,154.0,0.0009278685618037292
very,468,155.0,0.000921958570964215
village,466,156.5,0.0009180185770712055
supply,466,156.5,0.0009180185770712055
obstacle,463,158.0,0.0009121085862316914
check,460,159.0,0.0009061985953921772
road,458,160.0,0.0009022586014991677
point,452,161.0,0.0008904386198201392
place,451,162.0,0.0008884686228736345
centre,437,163.0,0.0008608886656225683
caring,435,164.0,0.0008569486717295589
also,434,165.0,0.0008549786747830541
law,433,166.0,0.0008530086778365493
time,427,167.0,0.0008411886961575209
visit,423,168.0,0.000833308708371502
death,407,169.0,0.0008017887572274263
before,402,170.5,0.0007919387724949026
call,402,170.5,0.0007919387724949026
due,401,172.0,0.0007899687755483979
get,397,173.0,0.000782088787762379
touch,395,174.0,0.0007781487938693695
ready,392,175.0,0.0007722388030298554
attending,391,176.0,0.0007702688060833505
good,388,177.0,0.0007643588152438363
way,382,178.0,0.000752538833564808
don,381,179.0,0.0007505688366183032
most,380,180.5,0.0007485988396717985
veronica,380,180.5,0.0007485988396717985
patient,379,182.0,0.0007466288427252938
stay,377,183.0,0.0007426888488322843
up,376,184.0,0.0007407188518857796
cases,374,185.0,0.0007367788579927701
only,372,186.0,0.0007328388640997607
sexual,371,187.5,0.000730868867153256
said,371,187.5,0.000730868867153256
education,370,189.0,0.0007288988702067511
another,367,190.5,0.0007229888793672369
regular,367,190.5,0.0007229888793672369
communities,365,192.0,0.0007190488854742275
persons,363,193.0,0.000715108891581218
keep,361,194.0,0.0007111688976882086
high,358,195.0,0.0007052589068486944
hospital,356,196.0,0.0007013189129556849
quarantine,350,197.0,0.0006894989312766566
drinking,349,198.0,0.0006875289343301517
funeral,338,199.0,0.0006658589679185997
died,337,200.0,0.000663888970972095
too,336,201.5,0.0006619189740255903
every,336,201.5,0.0006619189740255903
someone,335,203.0,0.0006599489770790855
were,334,204.0,0.0006579789801325808
these,329,205.0,0.0006481289954000572
put,328,206.0,0.0006461589984535525
still,323,207.0,0.0006363090137210287
since,322,208.5,0.000634339016774524
case,322,208.5,0.000634339016774524
taking,318,210.0,0.0006264590289885051
was,316,211.0,0.0006225190350954956
hunting,315,212.0,0.0006205490381489909
facilities,313,213.0,0.0006166090442559814
well,311,214.0,0.000612669050362972
buried,309,215.0,0.0006087290564699625
back,305,216.0,0.0006008490686839435
where,302,217.0,0.0005949390778444293
evd,300,218.5,0.0005909990839514199
safe,300,218.5,0.0005909990839514199
made,299,220.5,0.0005890290870049151
against,299,220.5,0.0005890290870049151
enter,296,222.0,0.0005831190961654009
man,294,223.0,0.0005791791022723915
having,292,224.5,0.000575239108379382
real,292,224.5,0.000575239108379382
town,291,226.5,0.0005732691114328773
suspected,291,226.5,0.0005732691114328773
capacity,290,228.0,0.0005712991144863726
